idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
428,VST3: FUNimator (3VSTUDIO),C:\Program Files\Common Files\VST3\OT FUNimator x64.vst3,VST3,,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
429,VST: Galactic (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Galactic64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
430,VST: Galactic2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Galactic264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
431,VST: Galactic3 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Galactic364.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
432,VST: GalacticVibe (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GalacticVibe64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
433,VST3: Gatelab (Audiomodern),C:\Program Files\Common Files\VST3\Gatelab_64.vst3,VST3,Audiomodern,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
434,VST: Gatelope (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Gatelope64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
435,VST: Geometer (Destroy FX),C:\Program Files (x86)\Steinberg\VSTPlugins\dfx Geometer.dll,VST,Destroy FX,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
436,VST: Giant Verb (MODE MACHINES),C:\Program Files\Common Files\VST2\Giant Verb (Win VST2 64)\Giant Verb.dll,VST,MODE MACHINES,False,Reverb,Reverb,Reverb,Reverb
437,VST: GlitchShifter (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GlitchShifter64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Glitch/Granular/Spectral,Glitch/Granular/Spectral
438,VST: GoldenSlew (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GoldenSlew64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
439,VST: Golem (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Golem64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
440,VST3: Grain Strain (Full Bucket Music),C:\Program Files\Common Files\VST3\grainstrain.vst3,VST3,Full Bucket Music,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
441,VST3i: gRainbow (StrangeLoops),C:\Program Files\Common Files\VST3\gRainbow.vst3\Contents\x86_64-win\gRainbow.vst3,VST3I,StrangeLoops,True,Instruments,Instruments,Instruments,Instruments
442,VST: GrindAmp (airwindows),C:\Program Files\Common Files\VST2\Airwindows\GrindAmp64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
443,VST: Gringer (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Gringer64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
